"Classe","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1. Supressão de Vegetação Primária","1830703","1736164","1736010","1427507","1431523","1950887","1701564","2030349","2521300","2184079","2222793","2181507","2062216","1879124","2085269","2327840","3030729","2764727","2313840","1775903","1449588","1391165","882775","785154","843057","786376","932399","850711","1036443","1176071","1008380","1057075","1444917","1304232","1779122"
"1.1. Floresta","1778489","1695134","1691448","1387592","1400818","1917209","1658108","1979611","2469293","2137233","2178637","2137387","2024672","1834331","2038495","2293574","2994790","2722843","2258714","1739750","1420711","1361810","861889","764449","824205","750026","880099","810562","984671","1132733","977940","1036633","1421187","1286446","1759384"
"1.1.1. Formação Florestal","1725883","1636108","1635585","1350387","1359532","1871576","1611243","1944488","2425800","2091666","2126250","2078439","1977541","1788590","1997513","2249354","2953157","2683014","2221291","1711640","1385245","1327126","837929","739781","803485","719017","849392","783596","950427","1079989","943285","1006912","1395298","1264610","1713654"
"1.1.2. Formação Savânica","31818","34300","30586","17204","17860","18424","15890","18883","13725","17678","16789","14984","15528","10609","15002","19716","15339","15694","15552","7399","13747","13454","8724","8841","7135","7093","12614","7569","10340","9315","9041","10491","8473","5386","4937"
"1.1.3. Mangue","1","1","12","4","17","2","5","2","3","","1","4","2","6","6","7","8","3","6","10","9","4","3","3","6","10","6","5","3","4","5","3","4","2","16"
"1.1.4. Floresta Alagável (beta)","20786","24723","25263","19995","23408","27205","30970","16236","29763","27888","35596","43958","31599","35124","25973","24495","26284","24131","21863","20699","21707","21223","15230","15823","13578","23905","18085","19389","23900","43423","25606","19225","17411","16446","40776"
"1.1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.2. Formação Natural não Florestal","52214","41030","44561","39915","30704","33678","43456","50738","52006","46846","44155","44120","37544","44793","46774","34266","35939","41883","55125","36152","28877","29355","20885","20705","18852","36350","52300","40149","51771","43338","30440","20441","23730","17786","19737"
"1.2.1. Campo Alagado e Área Pantanosa","12527","10856","10468","10452","12273","13332","19003","19639","20389","19098","21743","19120","17033","24078","21668","17647","15212","18811","24302","14054","12680","16164","11330","11961","12625","28012","32146","16163","16821","17688","10379","6539","7181","7999","6226"
"1.2.2. Formação Campestre","39577","30086","34028","29411","18312","20272","24379","30974","31573","27653","22342","24967","20484","20641","25087","16601","20702","23033","30737","22023","16150","13147","9525","8714","6182","8283","19704","23924","34773","25579","20022","13831","16485","9716","13316"
"1.2.3. Apicum","","1","3","1","4","","1","1","","","1","","13","10","4","2","3","5","2","4","4","5","2","2","2","9","15","10","38","16","6","2","1","",""
"1.2.4. Afloramento Rochoso","108","85","61","49","113","71","71","124","43","93","69","31","13","62","14","15","21","33","83","68","42","37","27","27","41","44","433","51","139","53","31","67","61","70","194"
"1.2.5. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.2.6. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. Supressão de Vegetação Secundária","","","81537","85855","112992","234570","252790","295527","375862","310522","338539","372807","330190","348899","385563","341472","389426","394473","351077","345773","355912","402239","327696","322420","328245","372405","433079","431909","519724","562287","450882","460593","490985","415221","416276"
"2.1. Floresta","","","76040","79338","105576","223171","239717","280979","355470","291961","313211","346055","313313","331218","369678","327441","373734","377006","328932","328988","337836","381693","311570","304672","311663","340074","398412","406447","489506","536127","433669","444933","474374","399221","393600"
"2.1.1. Formação Florestal","","","70576","73909","97922","207182","224661","256585","334101","269584","288143","322245","292084","311666","347479","303858","354997","353251","309365","311506","315404","354011","287133","282201","287020","316875","371445","380567","453783","494706","401042","403742","437687","366064","353484"
"2.1.2. Formação Savânica","","","4285","4478","5864","10383","8025","20375","10301","13432","12874","13030","11712","7844","10617","14803","8675","8620","7993","4837","9438","11985","9725","10942","14502","8324","11683","8680","17446","15069","13337","25523","23543","20589","25636"
"2.1.3. Mangue","","","","","","","","","","","","","","1","1","1","2","1","1","1","4","1","1","1","2","4","2","3","1","1","2","2","2","2","6"
"2.1.4. Floresta Alagável (beta)","","","1177","949","1788","5604","7029","4017","11066","8944","12193","10777","9515","11705","11580","8777","10059","15133","11571","12642","12989","15695","14711","11526","10137","14869","15281","17195","18274","26349","19287","15664","13142","12563","14473"
"2.1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.2. Formação Natural não Florestal","","","5497","6517","7416","11399","13073","14547","20392","18561","25327","26752","16877","17680","15885","14031","15691","17466","22145","16785","18076","20545","16125","17748","16581","32331","34666","25461","30218","26160","17212","15660","16610","16000","22676"
"2.2.1. Campo Alagado e Área Pantanosa","","","1255","1591","2499","4470","5424","6180","7730","8169","9967","8885","7900","9856","9245","7354","7488","8744","12678","9203","9632","12164","9978","10569","11197","25942","25890","14852","14692","14140","8585","7616","8052","10327","7974"
"2.2.2. Formação Campestre","","","4241","4925","4914","6924","7645","8363","12660","10389","15357","17865","8970","7818","6637","6672","8198","8713","9462","7576","8436","8372","6136","7169","5369","6377","8753","10597","15508","12011","8617","8032","8542","5662","14682"
"2.2.3. Apicum","","","","","1","","1","","","","1","","4","4","","1","1","4","1","1","4","5","6","5","5","6","8","7","12","2","2","1","4","1",""
"2.2.4. Afloramento Rochoso","","","","","1","3","1","3","","1","1","1","1","1","2","2","2","3","2","3","2","3","4","4","7","3","13","3","4","5","7","9","10","8","18"
"2.2.5. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.2.6. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
